id,retweet_count,favorite_count,rating_numerator,rating_denominator,name
784183165795655680,8051,20154,12,10,Reginald
784057939640352768,11130,29880,12,10,Balto
783839966405230592,10799,30164,13,10,Riley
783821107061198850,1981,7390,12,10,Mairi
783695101801398276,3213,10508,12,10,Loomis
783466772167098368,2248,8501,11,10,Finn
783391753726550016,5480,16953,13,10,Godi
783334639985389568,11676,29248,12,10,Dave
783085703974514689,2205,8185,11,10,Earl
782969140009107456,7381,24215,12,10,Cali
782747134529531904,1410,7493,11,10,Deacon
782722598790725632,5399,17331,10,10,Penny
782598640137187329,1876,7821,11,10,Timmy
782305867769217024,5565,16688,12,10,Sampson
781955203444699136,3373,11163,11,10,Chipson
781655249211752448,1131,4000,11,10,Combo
781251288990355457,2080,8467,11,10,Oakley
780858289093574656,2016,7207,10,10,Dash
780800785462489090,1301,5493,11,10,Koda
780601303617732608,3357,12145,12,10,Hercules
780459368902959104,1079,5307,11,10,Bear
779834332596887552,7034,18926,11,10,Scout
778990705243029504,7186,19978,11,10,Jay
778748913645780993,1305,6902,11,10,Mya
778650543019483137,1496,5778,10,10,Strider
778624900596654080,1008,4644,11,10,Penny
778383385161035776,1102,5837,13,10,Nala
778286810187399168,3287,10377,11,10,Stanley
777885040357281792,1629,6347,3,10,Wesley
777621514455814149,2502,8749,12,10,Derek
777189768882946048,4294,14278,12,10,Jeffrey
776813020089548800,1206,4881,12,10,Solomon
776477788987613185,2770,8828,11,10,Huck
776201521193218049,2514,9616,10,10,O
776113305656188928,4344,11755,11,10,Sampson
775842724423557120,2649,11715,12,10,Blue
775733305207554048,3977,13871,11,10,Anakin
775364825476165632,2956,7395,11,10,Finley
775350846108426240,3896,10154,12,10,Maximus
775085132600442880,4717,15545,13,10,Tucker
774757898236878852,1786,8601,12,10,Finley
774639387460112384,1725,6724,10,10,Sprinkles
773985732834758656,3840,10712,11,10,Winnie
773922284943896577,1745,6395,12,10,Heinrich
773704687002451968,1620,6591,12,10,Loki
773670353721753600,1308,5359,10,10,Shakespeare
773547596996571136,6118,22078,11,10,Chelsea
773308824254029826,7447,23284,12,10,Bungalo
773247561583001600,3243,9452,10,10,Chip
773191612633579521,4110,9972,12,10,Grey
772826264096874500,2338,8027,11,10,Roosevelt
772193107915964416,1383,6024,12,10,Willem
772117678702071809,737,3768,12,10,Jack
772114945936949249,466,2730,10,10,Finn
772102971039580160,938,3987,11,10,Penny
771770456517009408,3351,11980,11,10,Davey
771500966810099713,2601,8242,12,10,Dakota
771380798096281600,5047,10451,11,10,Fizz
771136648247640064,2910,9126,11,10,Dixie
771102124360998913,1435,6227,12,10,Charlie
770787852854652928,1195,4912,10,10,Winston
770772759874076672,1410,5155,11,10,Sebastian
770655142660169732,1758,7318,11,10,very
770414278348247044,2093,6312,11,10,Al
770293558247038976,1466,6223,10,10,Jackson
770069151037685760,2283,7569,10,10,Carbon
769940425801170949,9501,31245,12,10,Klein
769695466921623552,1675,6399,13,10,Titan
769212283578875904,1708,5377,12,10,DonDon
768970937022709760,6466,14308,12,10,Kirby
768855141948723200,882,4183,11,10,Jesse
768609597686943744,1197,4101,10,10,Lou
768596291618299904,1276,5019,12,10,Oakley
768473857036525572,3400,13590,11,10,Chevy
768193404517830656,3519,10825,8,10,Gerald
767884188863397888,1372,4726,10,10,Tito
767754930266464257,5356,15948,11,10,Philbert
767500508068192258,2329,7478,12,10,Louie
767122157629476866,2841,10145,13,10,Rupert
766793450729734144,1349,5047,10,10,Rufus
766693177336135680,788,3994,11,10,Brudge
766423258543644672,1572,5981,9,10,Shadoe
766313316352462849,1877,6765,12,10,Oscar
766069199026450432,846,4210,12,10,Juno
766008592277377025,494,3732,11,10,Angel
765719909049503744,2137,7202,12,10,Brat
765669560888528897,1217,5166,12,10,Tove
765395769549590528,3362,26523,13,10,my
765371061932261376,2151,7040,11,10,Louie
765222098633691136,3362,11592,10,10,Gromit
764857477905154048,1764,6428,12,10,Aubie
764259802650378240,1491,5988,10,10,Kota
763837565564780549,4118,12508,11,10,Alfie
763183847194451968,1455,5352,8,10,Clark
763103485927849985,2278,7330,10,10,Belle
762699858130116608,3584,12079,11,10,Leela
762471784394268675,6364,11160,12,10,Glenn
762464539388485633,4144,10230,12,10,Buddy
762316489655476224,1112,4771,11,10,Scout
761976711479193600,1992,5379,12,10,Shelby
761599872357261312,1182,4107,11,10,Sephie
761334018830917632,1439,5163,10,10,Bruce
761292947749015552,1075,4463,11,10,Bonaparte
761227390836215808,1549,5297,10,10,Albert
761004547850530816,3441,11262,11,10,Bo
760893934457552897,965,3798,11,10,Wishes
760656994973933572,1892,6543,11,10,Rose
760641137271070720,1283,4951,12,10,Theo
760539183865880579,3589,7524,12,10,Atlas
760290219849637889,11368,26630,13,10,Rocco
760252756032651264,862,3931,4,10,Fido
760190180481531904,1781,5658,10,10,Sadie
759846353224826880,1947,6693,11,10,Kirby
759793422261743616,1886,5913,12,10,Maggie
759557299618865152,1174,4656,10,10,Emma
759447681597108224,2433,8417,11,10,Oakley
759197388317847553,1927,6035,12,10,Luna
759099523532779520,4123,14410,7,10,Toby
759047813560868866,1988,6439,11,10,Spencer
758854675097526272,888,3525,11,10,Lilli
758740312047005698,1601,5698,12,10,Boston
758474966123810816,988,3775,11,10,Brandonald
758405701903519748,1884,5168,10,10,Odie
758355060040593408,1056,3372,11,10,Corey
757741869644341248,3218,6841,10,10,Leonard
757725642876129280,1195,4517,11,10,Beckham
757611664640446465,1092,4539,12,10,Cooper
757354760399941633,1404,4483,8,10,Devón
756998049151549440,1965,6231,11,10,Oliver
756939218950160384,1988,6593,12,10,Jax
756651752796094464,1284,5007,11,10,Gert
755206590534418437,5295,16301,14,10,one
755110668769038337,10966,21011,13,10,Watson
754856583969079297,2482,6855,11,10,Winnie
754747087846248448,513,2569,12,10,Keith
754482103782404096,1930,5247,10,10,Milo
754449512966619136,724,3715,11,10,Dex
753398408988139520,1876,5705,12,10,Scout
753375668877008896,2294,7583,8,10,Hank
753294487569522689,1025,3339,11,10,Ace
753026973505581056,949,3889,10,10,Tayzie
752932432744185856,6784,12513,12,10,Carl
752917284578922496,1557,6881,11,10,Grizzie
752173152931807232,1809,5902,12,10,Brody
751950017322246144,899,3036,13,10,Lola
751937170840121344,1310,5143,11,10,Ruby
751830394383790080,1920,5759,12,10,Tucker
751793661361422336,2861,5766,11,10,Fred
751598357617971201,3010,7841,13,10,Toby
751538714308972544,1243,4991,10,10,Max
751251247299190784,5797,12380,10,10,Gilbert
751132876104687617,1284,5016,10,10,Cooper
750868782890057730,1346,4735,11,10,Milo
750719632563142656,4956,13047,12,10,Meyer
750506206503038976,1129,4398,8,10,Malcolm
750429297815552001,4220,13043,12,10,Arnie
750383411068534784,1134,4517,9,10,Zoe
750132105863102464,1278,3573,11,10,Stewie
750117059602808832,1290,4291,10,10,Calvin
750101899009982464,828,3011,11,10,Lilah
750086836815486976,524,2148,12,10,Spanky
750056684286914561,883,3133,11,10,Jameson
750041628174217216,606,3139,13,10,Beau
750026558547456000,775,2694,10,10,Jax
750011400160841729,893,3215,11,10,Piper
749996283729883136,802,3034,12,10,Bo
749774190421639168,1301,4625,12,10,Lucy
749417653287129088,1620,6053,11,10,Finn
749395845976588288,3388,8477,10,10,George
749317047558017024,2208,5438,12,10,Blu
749075273010798592,2049,5698,11,10,Boomer
749064354620928000,1500,4761,11,10,Winston
749036806121881602,787,3061,8,10,Dietrich
748977405889503236,3349,10654,10,10,not
748932637671223296,2212,5746,13,10,Divine
748699167502000129,1559,4687,11,10,Tripp
748692773788876800,1316,4199,10,10,his
748575535303884801,1948,6000,6,10,one
748568946752774144,663,2175,12,10,Cora
748324050481647620,744,3641,11,10,Duke
747844099428986880,736,2784,11,10,Huxley
747648653817413632,5762,12729,12,10,Keurig
747600769478692864,550,2298,10,10,Bookstore
747439450712596480,1885,5354,12,10,Linus
747219827526344708,1541,5193,11,10,Atticus
747204161125646336,903,3328,10,10,Clark
746757706116112384,3845,9444,11,10,Maddie
746726898085036033,1763,5962,12,10,Abby
746507379341139972,1070,4594,10,10,Shiloh
746369468511756288,1608,6108,9,10,an
746131877086527488,2163,6817,10,10,Gustav
746056683365994496,801,3518,11,10,Arlen
745789745784041472,1049,3964,10,10,Gus
745712589599014916,2288,6903,7,10,Percy
745433870967832576,2493,6989,10,10,Lenox
745422732645535745,2394,8458,9,10,very
745314880350101504,2708,7084,12,10,Sugar
745074613265149952,3414,7720,11,10,Jeffrey
745057283344719872,2206,7164,12,10,Oliver
744995568523612160,604,2936,9,10,Abby
744971049620602880,2640,7762,12,10,Indie
744709971296780288,1537,5532,10,10,Harvey
744334592493166593,2067,6688,11,10,Blanket
744223424764059648,356,1638,12,10,actually
743980027717509120,1072,4110,11,10,Geno
743609206067040256,1355,4400,10,10,Stark
743595368194129920,6398,18061,7,10,Harold
743545585370791937,922,3478,11,10,Bentley
743510151680958465,3670,7822,13,10,Beya
743253157753532416,1199,4160,10,10,Kilo
743210557239623680,1337,3784,10,10,Kayla
742528092657332225,1932,4352,10,10,Maxaroni
742423170473463808,3685,9674,12,10,Bell
742385895052087300,1927,6697,11,10,Phil
742161199639494656,1340,4258,12,10,Doug
742150209887731712,1516,5030,8,10,Edmund
741743634094141440,2693,8047,11,10,Aqua
741438259667034112,808,3633,9,10,Tucker
741303864243200000,3140,8642,12,10,Theodore
741099773336379392,5404,9826,11,10,Ted
741067306818797568,3034,9376,12,10,just
740995100998766593,2677,6258,10,10,Leo
740699697422163968,766,2798,8,10,Chip
